[Tue Jan 12 00:00:00 2016] LOG ROTATION: DAILY
[Tue Jan 12 00:00:00 2016] LOG VERSION: 2.0
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;weblogic :: portal_ms0102;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;weblogic :: portal_ms0103;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;weblogic :: portal_ms0104;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;weblogic :: portal_ms0201;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;weblogic :: portal_ms0202;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;weblogic :: portal_ms0203;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp01;weblogic :: portal_ms0204;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp02;app :: disk usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp02;app :: process;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp02;so :: cpu stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp02;so :: cpu usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp02;so :: disk stats;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp02;so :: disk usage;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp02;so :: icmp;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.83 ms
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp02;so :: load average;OK;HARD;1;All resources are OK
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp02;so :: netstats;WARNING;HARD;3;<b><i>wmax</i></b>:<font size=-5>(udp.inerrors=1864)</font>
[Tue Jan 12 00:00:00 2016] CURRENT SERVICE STATE: bredt1-svprlp02;so :: network;OK;HARD;1;All resources are OK
